id,product_id,quantity,unit_price,total_amount,currency,channel,region,sold_at,order_reference,latent_demand,observed_sales,stockout_flag,promotion_applied,promotion_uplift,price_elasticity_effect,demand_noise,data_quality_status,ingested_at
0abc233a-b211-5f9f-97ea-c99fdd7614ad,576f0781-3104-5d50-92f3-befe834a6fa6,1508,10.59,15969.72,PLN,online,PL-North,2026-04-30T08:00:00+00:00,ORD-ELEC-000001-0001,2743,1508,true,false,1.0000,0.9310,1.2242,ok,2026-04-30T08:00:00+00:00
25e47560-6fa4-5f80-91cb-2c584ec086f4,576f0781-3104-5d50-92f3-befe834a6fa6,190,10.59,2012.10,PLN,online,PL-North,2026-04-30T09:00:00+00:00,ORD-ELEC-000001-0001,347,190,true,false,1.0000,0.9310,0.8614,ok,2026-04-30T09:00:00+00:00
002a222d-4fab-51e2-ba72-3b3c70938129,38d5dc41-891b-50f6-a02f-fda88ad8ccde,2198,12.44,27343.12,PLN,store,PL-Central,2026-04-30T09:00:00+00:00,ORD-HOME-000002-0001,3998,2198,true,false,1.0000,0.9520,1.2019,ok,2026-04-30T09:00:00+00:00
6ba93a7d-6313-58ce-961e-4048b1dd14dd,de0b3ef5-2bd5-55d5-8b53-6dc8eda6d60f,1757,14.30,25125.10,PLN,marketplace,PL-South,2026-04-30T10:00:00+00:00,ORD-GROC-000003-0001,3196,1757,true,false,1.0000,0.9790,1.0607,ok,2026-04-30T10:00:00+00:00
fca7ad22-7a70-5cbd-a77b-c693a3bb09fe,f000d381-f2f7-5a93-bc43-825f298a7685,101,23.57,2380.57,PLN,marketplace,PL-South,2026-04-30T11:00:00+00:00,ORD-GROC-000003-0001,184,101,true,false,1.0000,0.9730,0.9781,ok,2026-04-30T11:00:00+00:00
84b97cae-494c-575b-a36e-0d8cfe225b17,b17680da-3917-5612-9246-0a9b60e6efe9,350,16.15,5652.50,PLN,wholesale,DE-East,2026-04-30T11:00:00+00:00,ORD-FASH-000004-0001,638,350,true,false,1.0000,0.9190,0.8878,ok,2026-04-30T11:00:00+00:00
a046bbd7-ce4c-5bd9-a361-6cf92a575f19,62b81abd-84c4-5de4-b8f1-2d5b6b547bc3,57,18.01,1026.57,PLN,wholesale,DE-East,2026-04-30T12:00:00+00:00,ORD-FASH-000004-0001,105,57,true,false,1.0000,0.9580,0.8618,ok,2026-04-30T12:00:00+00:00
13d6b77a-5d40-5126-8ba0-5445a3e0e7c7,f8f45205-4b7d-5a19-9e70-2c6d708ac79c,15,32.85,492.75,PLN,wholesale,DE-East,2026-04-30T13:00:00+00:00,ORD-FASH-000004-0001,15,15,false,false,1.0000,0.9580,0.9221,ok,2026-04-30T13:00:00+00:00
0c5bde33-37ae-51cc-a907-106f8491e3d1,62b81abd-84c4-5de4-b8f1-2d5b6b547bc3,980,18.01,17649.80,PLN,online,PL-North,2026-04-30T12:00:00+00:00,ORD-BEAU-000005-0001,1783,980,true,false,1.0000,0.9580,1.1555,ok,2026-04-30T12:00:00+00:00
b2ea4963-b24f-5972-9fa4-04ca3749dc3f,b17680da-3917-5612-9246-0a9b60e6efe9,134,16.15,2164.10,PLN,online,PL-North,2026-04-30T13:00:00+00:00,ORD-BEAU-000005-0001,244,134,true,false,1.0000,0.9190,0.8300,ok,2026-04-30T13:00:00+00:00
