id,product_id,forecast_id,anomaly_id,alert_id,recommendation_type,recommended_action,rationale,status,generated_at,expires_at,created_at
72d054f2-46f0-5cba-afd9-0f2e9715b24c,ebd800fd-0820-5593-9f02-c5ad7575757b,,825c99fb-235a-59d3-a5d2-a60e0746d6c1,db4ffb8e-77eb-59c2-9eba-f4634533c33e,investigate_sales_drop,Review product performance.,Derived from synthetic business signal.,proposed,2026-04-30T10:00:00+00:00,,2026-04-30T10:00:00+00:00
b54d5b25-ffd4-5016-be7f-97d40f147449,57a04d7b-ffa2-55d5-8e3c-3099d16cc188,,35f24065-a93b-5f20-ba56-5e68b94ac2c2,55aa0a35-b6b9-5b7f-9c42-33976ea939a1,investigate_sales_drop,Review product performance.,Derived from synthetic business signal.,proposed,2026-04-29T10:00:00+00:00,,2026-04-29T10:00:00+00:00
6d8114da-aab8-56a4-b793-26333d41dcf5,746e83f8-c019-5f34-be65-3ba6d9311b16,,47c4bde8-d0fe-5652-a89f-4c8a8d1b8f4a,bb2e3b3f-213d-5e23-bc3c-61997b04847b,investigate_sales_drop,Review product performance.,Derived from synthetic business signal.,proposed,2026-04-28T10:00:00+00:00,,2026-04-28T10:00:00+00:00
75acc02e-8a32-59de-ba87-648df80fd82b,1e4e8bdc-40be-58a9-9f14-c7b0c6af9c9c,,0ef14548-74db-5376-a704-b41596a512a4,1d7a1085-c65a-5352-8a8d-59eeb327230a,investigate_sales_drop,Review product performance.,Derived from synthetic business signal.,proposed,2026-04-27T10:00:00+00:00,,2026-04-27T10:00:00+00:00
6479009c-c251-506c-b4e3-2d97a39ac502,398b86fc-73de-5291-ac6a-14681329475c,,c05ae884-9593-5e9f-8fa3-5b40db51d880,1195bac0-39f4-5dd9-b001-17115103fe65,investigate_sales_drop,Review product performance.,Derived from synthetic business signal.,proposed,2026-04-26T10:00:00+00:00,,2026-04-26T10:00:00+00:00
1f90a78a-2048-58be-9075-7a8a52016687,20bd9198-afef-51b5-88cd-25eecdc6a243,,404480fe-04d1-598d-8a88-1fcac5364dfa,09188f7b-97e2-570c-8f07-940f0d66f4c9,investigate_sales_drop,Review product performance.,Derived from synthetic business signal.,proposed,2026-04-25T10:00:00+00:00,,2026-04-25T10:00:00+00:00
466df233-f8f7-5b1a-a949-88d5b32dce8d,2480ade4-fd45-5f2a-96a0-bdb49cf41ba8,,ebd55603-6822-5959-9536-d384dca41d49,eaa656be-ee05-50b5-a236-355e7eec3c70,investigate_sales_drop,Review product performance.,Derived from synthetic business signal.,proposed,2026-04-24T10:00:00+00:00,,2026-04-24T10:00:00+00:00
c268afe5-d933-54c6-a683-1c01595cf961,da3b1539-9617-5466-87e9-e053e2419729,,190d2275-5131-52a0-af75-c8dcbcc420f3,a6afbc92-8456-5f2f-91b9-bd52a85f1d39,investigate_sales_drop,Review product performance.,Derived from synthetic business signal.,proposed,2026-04-23T10:00:00+00:00,,2026-04-23T10:00:00+00:00
7f94e55e-7e74-5804-89f5-27be7bc57131,a5c55cd2-b68a-541d-8134-ac1136a677dc,,7cebe8d4-d1d3-5049-90a6-7b3aec51d79c,34d834a0-97ad-592c-a6db-cc68fd617b4a,investigate_sales_drop,Review product performance.,Derived from synthetic business signal.,proposed,2026-04-22T10:00:00+00:00,,2026-04-22T10:00:00+00:00
f3121226-8c76-524a-8c52-f19ffb913a5f,adacd216-df4b-557a-bee5-9d117848c764,,ef9a26ff-341e-599c-a53f-19bb54912647,c4bf0e74-7687-567a-bbc7-f6839c4ec9a8,investigate_sales_drop,Review product performance.,Derived from synthetic business signal.,proposed,2026-04-21T10:00:00+00:00,,2026-04-21T10:00:00+00:00
dc9ecddb-96da-5d1d-b758-85d2bdd3f97b,e760945c-f9e6-5e2e-9858-aceb64faaf84,,fcf230b3-f274-5fd0-9e17-d808aaf57785,ed7a6838-84b9-5b9e-9f22-52b5b0ed17b5,investigate_sales_drop,Review product performance.,Derived from synthetic business signal.,proposed,2026-04-20T10:00:00+00:00,,2026-04-20T10:00:00+00:00
e2b804bf-b1a4-5c74-9b68-09000ffc29bc,80c37084-5ec1-5934-99a2-404b2f4d677a,,7a9a8356-a6fa-5963-9e91-c0c44af53e2d,2d390717-a76b-5d0f-a2b1-6be12882bea4,investigate_sales_drop,Review product performance.,Derived from synthetic business signal.,proposed,2026-04-19T10:00:00+00:00,,2026-04-19T10:00:00+00:00
f41b4bce-b7f0-5b93-9d6e-6dcfe0ec28a4,8cf4f802-4e89-570e-93f8-e6fcceaa622b,,2ff35b9d-edca-5ed2-9831-320b48e7f588,e21cfba1-3fc8-5964-8662-24504e3f1743,investigate_sales_drop,Review product performance.,Derived from synthetic business signal.,proposed,2026-04-18T10:00:00+00:00,,2026-04-18T10:00:00+00:00
f433149d-739b-5a43-a0ee-64e3a7de71cb,ec348c6b-cb3f-5826-a791-37217bfd82f6,,1312bec7-1dcf-5abe-86a5-d8669b1d3563,3532ba19-7ea3-502f-83f0-f775dbdbabd7,investigate_sales_drop,Review product performance.,Derived from synthetic business signal.,proposed,2026-04-17T10:00:00+00:00,,2026-04-17T10:00:00+00:00
3fd95b9b-f68c-52b7-aa35-a79df2daf61a,4f4cdd86-60e0-5d5c-9eda-86f193a7cd21,,f5571435-1d0f-5e69-8c85-01aad9266852,cb9dddec-1abd-52ac-9b9e-3069a66be787,investigate_sales_drop,Review product performance.,Derived from synthetic business signal.,proposed,2026-04-16T10:00:00+00:00,,2026-04-16T10:00:00+00:00
05882187-9ca0-5b14-bcf5-d9c28915aba0,e213b766-e8ca-56ff-8715-94a8c16a108d,,dbb29540-f7bc-5085-8cff-0f920e5d0904,20bdcfbd-8786-5669-8d14-4fbf2dbb1f66,review_stock,Review product performance.,Derived from synthetic business signal.,proposed,2026-04-15T10:00:00+00:00,,2026-04-15T10:00:00+00:00
feb40fca-27ae-5dd5-8b00-bef2256808c5,91c81a29-2ca8-52e7-bffd-af9c56b7218c,,86977465-fb08-5f05-bb6a-b638a711ec63,a62bf6c6-0f7f-55e0-9e6f-75be72d851a8,review_stock,Review product performance.,Derived from synthetic business signal.,proposed,2026-04-14T10:00:00+00:00,,2026-04-14T10:00:00+00:00
64b7d6a6-b346-5275-8387-488740683fa3,ce797b7a-af13-5663-88da-14c0a9fe5a63,,603e8a7b-648c-5cbe-92c8-1595c4278356,fa792498-7c64-52cc-aff6-3732cda1ba10,review_stock,Review product performance.,Derived from synthetic business signal.,proposed,2026-04-13T10:00:00+00:00,,2026-04-13T10:00:00+00:00
ad311e94-3384-5e20-b796-019f30bf5b64,818addc5-51d4-57c7-a7c6-b66bb513dcaf,,00285f5f-bd11-52a9-b327-3f4324839816,d60fe96b-848e-5b37-8e89-a2c0c9356a16,review_stock,Review product performance.,Derived from synthetic business signal.,proposed,2026-04-12T10:00:00+00:00,,2026-04-12T10:00:00+00:00
e33a0f67-6025-5b03-a69a-8d8e2a05a4f1,f32ca738-f369-5d10-a674-7ee267c90f10,,88281dec-ff19-5529-9aa0-aa243af9c774,c8b3983e-65e2-501d-9335-72c181fedb1a,review_stock,Review product performance.,Derived from synthetic business signal.,proposed,2026-04-11T10:00:00+00:00,,2026-04-11T10:00:00+00:00
