id,order_id,product_id,quantity,unit_price,total_amount,currency
c4a09a30-85fc-5013-924d-7f4a735b56df,58ab05a2-45ef-5378-83b0-7983d3152cbc,576f0781-3104-5d50-92f3-befe834a6fa6,1508,10.59,15969.72,PLN
c8200dba-342a-5283-b03f-eb2b4fcfb06b,58ab05a2-45ef-5378-83b0-7983d3152cbc,576f0781-3104-5d50-92f3-befe834a6fa6,190,10.59,2012.10,PLN
f1c4ae49-1a73-5e65-82e5-818825b0a586,bcbe42c7-8820-5d43-aca0-496de0c86340,38d5dc41-891b-50f6-a02f-fda88ad8ccde,2198,12.44,27343.12,PLN
a127f00b-db57-58ad-94a4-e7119da845a4,7090b526-aa04-5e4b-88f7-910ccaabdf51,de0b3ef5-2bd5-55d5-8b53-6dc8eda6d60f,1757,14.30,25125.10,PLN
7e451f9f-346d-5e0f-8c33-c00bcbb71f72,7090b526-aa04-5e4b-88f7-910ccaabdf51,f000d381-f2f7-5a93-bc43-825f298a7685,101,23.57,2380.57,PLN
a9631a1b-8f12-5eab-aaab-c973cc8e20bc,e1284ac5-b9b3-5aa0-b16d-afb43b7d13b8,b17680da-3917-5612-9246-0a9b60e6efe9,350,16.15,5652.50,PLN
3e382e76-7da2-52b1-922a-e78c690b970c,e1284ac5-b9b3-5aa0-b16d-afb43b7d13b8,62b81abd-84c4-5de4-b8f1-2d5b6b547bc3,57,18.01,1026.57,PLN
9eeaccca-967e-5e1c-be45-5271ef296042,e1284ac5-b9b3-5aa0-b16d-afb43b7d13b8,f8f45205-4b7d-5a19-9e70-2c6d708ac79c,15,32.85,492.75,PLN
ae8136aa-640b-57e9-90a6-5739411f351b,235afceb-c2b3-5ce7-82ba-8260228a63d8,62b81abd-84c4-5de4-b8f1-2d5b6b547bc3,980,18.01,17649.80,PLN
3bdb6121-9f57-5638-8789-f5081a66c589,235afceb-c2b3-5ce7-82ba-8260228a63d8,b17680da-3917-5612-9246-0a9b60e6efe9,134,16.15,2164.10,PLN
a3290fd1-494b-546c-8734-f31d5bbcd223,62433a1f-7992-5b1d-8ad1-ce1ed3d8a560,e3e08a14-471a-5347-94f6-b2369070c3a7,839,19.86,16662.54,PLN
24b06668-76ed-5d85-bf7a-f950dc20d7ad,62433a1f-7992-5b1d-8ad1-ce1ed3d8a560,e3e08a14-471a-5347-94f6-b2369070c3a7,177,19.86,3515.22,PLN
683f5c47-ff24-5928-acee-5ab3ccd2e0c4,c5e4dded-4653-5031-8b13-c3b91c4e17c6,6ef80540-16c7-551c-95b8-9ae7373e7908,578,21.72,12554.16,PLN
d38945a4-2989-50a8-9ee5-9bdfaed548fa,c5e4dded-4653-5031-8b13-c3b91c4e17c6,6ef80540-16c7-551c-95b8-9ae7373e7908,96,21.72,2085.12,PLN
75394045-ed3d-51fa-a545-e5abd4dd8616,84e5cbb3-aade-5c24-909e-86e45b3335f7,f000d381-f2f7-5a93-bc43-825f298a7685,492,23.57,11596.44,PLN
d33eaf7f-e1db-5e5c-94f5-6684770069ab,7ca2f366-42f9-505a-8faa-311ae71ac3eb,22d48f3a-5014-5123-a1e5-345e1ddd84a3,120,25.43,3051.60,PLN
b66896c7-4527-52cc-8902-c3bb5e198405,7ca2f366-42f9-505a-8faa-311ae71ac3eb,576f0781-3104-5d50-92f3-befe834a6fa6,98,10.59,1037.82,PLN
fd64db5a-a63e-5916-b927-035a888b896b,7ca2f366-42f9-505a-8faa-311ae71ac3eb,22d48f3a-5014-5123-a1e5-345e1ddd84a3,23,25.43,584.89,PLN
9390b1a7-ac9c-50bb-ab56-6f01322e8e81,45f8a4ca-6e11-5388-acd1-6225013bf0b9,7b6c271c-85eb-5849-9da9-76e7ab8e881f,415,27.28,11321.20,PLN
f802f67f-e494-5b4b-93ce-1f983d936b7d,45f8a4ca-6e11-5388-acd1-6225013bf0b9,38d5dc41-891b-50f6-a02f-fda88ad8ccde,232,12.44,2886.08,PLN
865b92eb-3d0c-57b1-b20d-0cb80cc43ba5,66e15db3-a7bb-5572-b0e1-4d1c15f49d2b,163da9b8-d3e0-5f9e-9dd3-954c345c7684,233,29.14,6789.62,PLN
5e33cb43-5ce7-5981-8427-77fa647b9eaf,66e15db3-a7bb-5572-b0e1-4d1c15f49d2b,f000d381-f2f7-5a93-bc43-825f298a7685,104,23.57,2451.28,PLN
0d678164-f244-54b2-ab3a-5b0f7e998001,ac55f69d-46e2-5e03-b79b-b1ef979dd673,ca2f4809-df5a-51b1-b5eb-635bec356f40,146,30.99,4524.54,PLN
a3745315-11a1-5469-b610-dbbc5a3d8a2f,a4aaf2e1-0819-574f-8f17-aacea6929f50,f8f45205-4b7d-5a19-9e70-2c6d708ac79c,340,32.85,11169.00,PLN
56ce14ac-9df3-55c1-973d-4b386e5e6288,69907473-5583-506f-bbd7-aaed75e4d20d,5030188b-d814-53c3-9914-3a99743cea2f,208,34.70,7217.60,PLN
ee7282ef-1d5f-5802-b929-390ef2bd1359,69907473-5583-506f-bbd7-aaed75e4d20d,e3e08a14-471a-5347-94f6-b2369070c3a7,61,19.86,1211.46,PLN
0073e24e-86f7-5d0d-83cd-7f921bf7c33f,69907473-5583-506f-bbd7-aaed75e4d20d,5030188b-d814-53c3-9914-3a99743cea2f,38,34.70,1318.60,PLN
7e1e6750-a315-57ed-a289-64032646de4d,69907473-5583-506f-bbd7-aaed75e4d20d,c6ad2817-6d98-5707-85ba-460e2ab44c7a,22,49.54,1089.88,PLN
363610b3-4874-5fbd-899a-693d36de046e,1675a504-1168-5160-ba4f-d7dc32d3f723,92541b74-41dc-5325-b5f8-c731758cbdfc,388,36.56,14185.28,PLN
0fb76507-9102-5ef8-8f71-77bcfc7af461,2a53cd46-8940-57e8-a2e3-8b16fdbe394a,5e4db0b5-3afc-5b37-b821-e41339bfcb8f,199,38.41,7643.59,PLN
c059b0e5-02e6-5532-af47-952e318002b9,77dba535-6595-5c02-b0f5-1cc6cb543fe5,6836df32-8a55-5c22-8e6b-ed15005c6d4a,465,40.27,18725.55,PLN
1e340262-e992-5e32-a4ca-f7610b04c9f2,2a948f7e-5272-5f35-a0fc-e1a0f3713bca,60fc91ce-c105-5d41-a03f-c6f4490669e1,316,42.12,13309.92,PLN
14503fa9-233c-5f0f-b528-ac1c64bfb72a,34576f57-d70d-544a-982a-e5b62d6af79e,944b935c-7308-50ea-a7a3-71cc8f2fd4c5,152,43.98,6684.96,PLN
e8934ffa-95aa-5207-8d5b-bf91ad99ffef,34576f57-d70d-544a-982a-e5b62d6af79e,f000d381-f2f7-5a93-bc43-825f298a7685,29,23.57,683.53,PLN
699e850b-02e0-5865-b1ee-74e899da921f,34576f57-d70d-544a-982a-e5b62d6af79e,5e4db0b5-3afc-5b37-b821-e41339bfcb8f,12,38.41,460.92,PLN
6547c7d0-49aa-5468-8ac3-e6ff5e08d338,34576f57-d70d-544a-982a-e5b62d6af79e,5acda6c0-5a1e-5e97-9a2c-6a29d8118012,34,53.25,1810.50,PLN
ea485f61-76db-5125-9384-402e7899bec2,8baca9bd-1f2d-520b-83e7-167ae352911d,b3eddb5e-2feb-5a7d-9d80-832a203e282f,201,45.83,9211.83,PLN
6ed27b12-c9b9-575c-989c-352457bf673c,8baca9bd-1f2d-520b-83e7-167ae352911d,62b81abd-84c4-5de4-b8f1-2d5b6b547bc3,142,18.01,2557.42,PLN
bc50107e-75a3-5e65-b0b0-10fbd9c30ece,0b0438c8-3aa7-50b4-a3b1-8264b2a371a5,360ec9af-06ab-53b8-adcc-f0a8badedcdf,163,47.69,7773.47,PLN
4fc09060-f9f7-5afe-a118-e5c69eca9d24,536176f6-1aec-5089-be8e-51cc56a03599,c6ad2817-6d98-5707-85ba-460e2ab44c7a,316,49.54,15654.64,PLN
f60c46a8-f2e2-53d8-85f6-c3c51974ed60,8ae6c5e7-1b31-5bad-b41f-6eba03c8e8af,44953a4d-66fb-5d64-9644-a9213ce753fb,334,51.40,17167.60,PLN
98f6cf7b-12d7-5245-9d08-931c8e696d26,4e2438ee-a24d-5852-a8fe-9d0b49b66cc8,5acda6c0-5a1e-5e97-9a2c-6a29d8118012,291,53.25,15495.75,PLN
49591179-db1d-5c14-896e-e0e997005877,4e2438ee-a24d-5852-a8fe-9d0b49b66cc8,de0b3ef5-2bd5-55d5-8b53-6dc8eda6d60f,100,14.30,1430.00,PLN
2cd65829-aa5a-5962-b8f6-2000f6a776db,4e2438ee-a24d-5852-a8fe-9d0b49b66cc8,163da9b8-d3e0-5f9e-9dd3-954c345c7684,18,29.14,524.52,PLN
a5bc7816-31e4-506c-ae60-985a03710839,4e2438ee-a24d-5852-a8fe-9d0b49b66cc8,944b935c-7308-50ea-a7a3-71cc8f2fd4c5,20,43.98,879.60,PLN
0fed3e5b-b01b-5fdc-b630-5c14c6fd95a8,88c88dbe-e30a-5b00-815c-869d6694bf25,06f4fcc4-2bd2-526c-bfc8-6a4cbad967b3,506,55.11,27885.66,PLN
b97aa1f1-d015-592c-b72f-3a2e5a0c2c61,2f847768-d9ad-5497-a5c5-817623788263,b6756d87-a0a0-556a-b6ed-1c904680ceb4,67,56.96,3816.32,PLN
178e259e-fdff-52cf-90a1-3e16dd29b4ed,91723fef-a768-5569-be45-cf44dae508db,78d65be0-4c32-5c7a-932c-89673632def9,61,58.82,3588.02,PLN
2e4b9632-3899-508b-b05c-fc6e15663a50,de0b1d09-2bbc-50b7-910e-4036c3d1e6e9,01fc3b7e-8b29-50d3-a3d4-bc713fa84405,32,60.67,1941.44,PLN
b690fc85-a348-5258-bbfd-8fe79043ac52,de0b1d09-2bbc-50b7-910e-4036c3d1e6e9,62b81abd-84c4-5de4-b8f1-2d5b6b547bc3,190,18.01,3421.90,PLN
dde038d5-a9d0-5fa4-af60-bfcb8dc0f581,edb4bb7d-ae34-56e1-9f17-1fa0b5b97bc5,e97682bc-117f-532b-8b65-b717c09bc30f,21,62.53,1313.13,PLN
ebdc592d-2329-5289-8bba-dc1f450b8004,edb4bb7d-ae34-56e1-9f17-1fa0b5b97bc5,b17680da-3917-5612-9246-0a9b60e6efe9,57,16.15,920.55,PLN
5e0f739d-bcd2-53cf-9db6-24a2dcdac5f1,edb4bb7d-ae34-56e1-9f17-1fa0b5b97bc5,ca2f4809-df5a-51b1-b5eb-635bec356f40,10,30.99,309.90,PLN
2f237e76-cb10-56d1-b0ff-ded49bad8591,2ba3dc71-c7a4-54ee-b94a-4c9942784ccd,b7d44817-034b-51e8-84f0-70a921a96cdb,83,64.38,5343.54,PLN
f8416bbb-a0f7-5813-82e0-b74922d070c6,6e9bb140-5f81-5363-b2e6-1bddabc6fc0c,85e7e944-3e11-5a89-ac96-c23167ff32dc,50,66.24,3312.00,PLN
3cce90ee-0a22-5578-a697-17e4bd5160a5,6e9bb140-5f81-5363-b2e6-1bddabc6fc0c,6ef80540-16c7-551c-95b8-9ae7373e7908,108,21.72,2345.76,PLN
b0890baa-970c-5a9f-aa26-1c8b0998accc,20b81bc8-3508-5e65-bb77-f605b02c5cb9,975dfb1e-69d1-5f10-8875-2e1acefd4859,98,68.09,6672.82,PLN
35e01714-662c-5b67-b33e-f9d1267344b9,5e368c34-48b7-5e7a-a2f7-3c73b481a269,ac6c0b36-b856-5925-aca7-b8e3bb4639a3,54,69.95,3777.30,PLN
67327e96-ce90-5f22-9211-fbc92ba4af41,5e368c34-48b7-5e7a-a2f7-3c73b481a269,576f0781-3104-5d50-92f3-befe834a6fa6,281,10.59,2975.79,PLN
b7aa212c-cfd4-5f57-a54b-73b48283c57d,6bd86871-bec1-5f99-be0d-018d32ca4f0c,7d15b52f-782f-5fa8-9c0b-78ebb03a07a5,62,71.80,4451.60,PLN
b8b2dd9f-1af4-55e8-b795-addce8755823,6bd86871-bec1-5f99-be0d-018d32ca4f0c,38d5dc41-891b-50f6-a02f-fda88ad8ccde,123,12.44,1530.12,PLN
6c08a5e4-63e0-52e2-8d0c-3512a4db1c1b,6bd86871-bec1-5f99-be0d-018d32ca4f0c,7b6c271c-85eb-5849-9da9-76e7ab8e881f,27,27.28,736.56,PLN
e65cf34a-ff1e-58ce-b53a-85407ce45498,6bd86871-bec1-5f99-be0d-018d32ca4f0c,60fc91ce-c105-5d41-a03f-c6f4490669e1,22,42.12,926.64,PLN
c635364d-4241-5947-8ef0-5cf8a6c3afd9,cd155eb2-4abe-5129-ba51-fdb685a7cedc,2532c2ec-f726-59a0-9af7-a077b1c5c99d,42,73.66,3093.72,PLN
3da71a03-134b-5ed0-bd8d-2bec2e22f31d,cd155eb2-4abe-5129-ba51-fdb685a7cedc,f000d381-f2f7-5a93-bc43-825f298a7685,70,23.57,1649.90,PLN
29a8026a-bdc0-578a-aac3-5910b2eabfdf,d2cbf350-ec74-5855-ac1c-15bf8ba357ad,6e80b7e9-0667-54ce-838e-56aca777afef,51,75.51,3851.01,PLN
05d104b9-953f-5a92-bded-a18c9814198d,34e755bb-ab0d-5810-a9fd-26981d31e7bf,9a6922f7-9343-52bc-89b0-d1db33a0340d,47,77.37,3636.39,PLN
06063577-8b41-5f0f-83d2-8161dabe36c6,9cbae702-70aa-5528-b12f-ab2c6f136f7b,f42ebea5-b984-5835-bd6a-106e6e6fdcfb,140,79.22,11090.80,PLN
ee121d67-825f-5bde-a659-a5500f51842a,4a1e020a-e938-5333-aa64-3a3956da86c3,9cf88386-0bed-5ac4-9a5f-045e8b2a7a00,13,81.08,1054.04,PLN
24aa9fa7-cf03-5bdf-ba39-f701342f3c88,4a1e020a-e938-5333-aa64-3a3956da86c3,6ef80540-16c7-551c-95b8-9ae7373e7908,38,21.72,825.36,PLN
729b6860-7333-5d09-94bd-55bf394b1e3f,4a1e020a-e938-5333-aa64-3a3956da86c3,92541b74-41dc-5325-b5f8-c731758cbdfc,30,36.56,1096.80,PLN
cb16bc39-efe4-5dda-af91-a2b757affd2a,3fd9dfe2-27c5-5f1e-90b7-5a74116e1d17,ac8ce360-9980-5f71-b176-285323c963b8,43,82.93,3565.99,PLN
a41174ec-22c0-548c-a5a8-2891df29516e,3fd9dfe2-27c5-5f1e-90b7-5a74116e1d17,de0b3ef5-2bd5-55d5-8b53-6dc8eda6d60f,264,14.30,3775.20,PLN
b05b2d37-e76d-55cc-ad04-3e7bab27b77e,b6d08a65-5208-5afa-827e-dcb048a51da2,58e54d28-afe6-5090-9990-c3649b754085,109,84.79,9242.11,PLN
bdbcdee6-8761-540d-bc6f-31584ccf0285,b6d08a65-5208-5afa-827e-dcb048a51da2,576f0781-3104-5d50-92f3-befe834a6fa6,208,10.59,2202.72,PLN
