id,order_reference,store_id,channel,region,status,order_total,currency,ordered_at,created_at
58ab05a2-45ef-5378-83b0-7983d3152cbc,ORD-ELEC-000001-0001,a2ac838d-a4ad-5054-9aad-660428b4817c,online,PL-North,completed,17981.82,PLN,2026-04-30T08:00:00+00:00,2026-04-30T08:00:00+00:00
bcbe42c7-8820-5d43-aca0-496de0c86340,ORD-HOME-000002-0001,c1ca292a-ed5d-5123-9067-da1959a33604,store,PL-Central,completed,27343.12,PLN,2026-04-30T09:00:00+00:00,2026-04-30T09:00:00+00:00
7090b526-aa04-5e4b-88f7-910ccaabdf51,ORD-GROC-000003-0001,2761a8b7-f541-58d3-a24a-a69e1ad6ee09,marketplace,PL-South,completed,27505.67,PLN,2026-04-30T10:00:00+00:00,2026-04-30T10:00:00+00:00
e1284ac5-b9b3-5aa0-b16d-afb43b7d13b8,ORD-FASH-000004-0001,173ee44c-0459-54cb-b9a6-01f9b422e02f,wholesale,DE-East,completed,7171.82,PLN,2026-04-30T11:00:00+00:00,2026-04-30T11:00:00+00:00
235afceb-c2b3-5ce7-82ba-8260228a63d8,ORD-BEAU-000005-0001,ba4881fd-78b5-5016-847d-8066d661bcfa,online,PL-North,completed,19813.90,PLN,2026-04-30T12:00:00+00:00,2026-04-30T12:00:00+00:00
62433a1f-7992-5b1d-8ad1-ce1ed3d8a560,ORD-SPOR-000006-0001,a2ac838d-a4ad-5054-9aad-660428b4817c,online,PL-North,completed,20177.76,PLN,2026-04-30T13:00:00+00:00,2026-04-30T13:00:00+00:00
c5e4dded-4653-5031-8b13-c3b91c4e17c6,ORD-TOYS-000007-0001,c1ca292a-ed5d-5123-9067-da1959a33604,store,PL-Central,completed,14639.28,PLN,2026-04-30T14:00:00+00:00,2026-04-30T14:00:00+00:00
84e5cbb3-aade-5c24-909e-86e45b3335f7,ORD-PET -000008-0001,2761a8b7-f541-58d3-a24a-a69e1ad6ee09,marketplace,PL-South,completed,11596.44,PLN,2026-04-30T15:00:00+00:00,2026-04-30T15:00:00+00:00
7ca2f366-42f9-505a-8faa-311ae71ac3eb,ORD-ELEC-000009-0001,173ee44c-0459-54cb-b9a6-01f9b422e02f,wholesale,DE-East,completed,4674.31,PLN,2026-04-30T16:00:00+00:00,2026-04-30T16:00:00+00:00
45f8a4ca-6e11-5388-acd1-6225013bf0b9,ORD-HOME-000010-0001,ba4881fd-78b5-5016-847d-8066d661bcfa,online,PL-North,completed,14207.28,PLN,2026-04-30T17:00:00+00:00,2026-04-30T17:00:00+00:00
