id,order_id,order_item_id,product_id,quantity,refund_amount,currency,reason,status,returned_at
6dc7107c-8043-57d0-a447-6cc564f21da8,7090b526-aa04-5e4b-88f7-910ccaabdf51,7e451f9f-346d-5e0f-8c33-c00bcbb71f72,f000d381-f2f7-5a93-bc43-825f298a7685,33,777.81,PLN,customer_return,received,2026-05-05T12:00:00+00:00
003464b4-54dc-5e62-8596-5ca19eaf024e,ac55f69d-46e2-5e03-b79b-b1ef979dd673,0d678164-f244-54b2-ab3a-5b0f7e998001,ca2f4809-df5a-51b1-b5eb-635bec356f40,48,1487.52,PLN,customer_return,received,2026-05-03T18:00:00+00:00
3d59437f-ffb7-5168-b850-d21b928facb9,a4aaf2e1-0819-574f-8f17-aacea6929f50,a3745315-11a1-5469-b610-dbbc5a3d8a2f,f8f45205-4b7d-5a19-9e70-2c6d708ac79c,113,3712.05,PLN,customer_return,received,2026-05-04T19:00:00+00:00
889a8d07-4b15-5887-bfce-37451472bc7c,69907473-5583-506f-bbd7-aaed75e4d20d,56ce14ac-9df3-55c1-973d-4b386e5e6288,5030188b-d814-53c3-9914-3a99743cea2f,69,2394.30,PLN,customer_return,received,2026-05-05T08:00:00+00:00
493de40d-65be-50c8-af8d-84e3ecd315b3,8baca9bd-1f2d-520b-83e7-167ae352911d,ea485f61-76db-5125-9384-402e7899bec2,b3eddb5e-2feb-5a7d-9d80-832a203e282f,67,3070.61,PLN,customer_return,received,2026-05-02T08:00:00+00:00
b774c556-0cbd-5d13-995d-09dda86d1723,2f847768-d9ad-5497-a5c5-817623788263,b97aa1f1-d015-592c-b72f-3a2e5a0c2c61,b6756d87-a0a0-556a-b6ed-1c904680ceb4,22,1253.12,PLN,customer_return,received,2026-05-02T18:00:00+00:00
bce4d509-96f1-5fd4-83db-eb7b6fe4b198,de0b1d09-2bbc-50b7-910e-4036c3d1e6e9,2e4b9632-3899-508b-b05c-fc6e15663a50,01fc3b7e-8b29-50d3-a3d4-bc713fa84405,10,606.70,PLN,customer_return,received,2026-05-04T08:00:00+00:00
1dde021c-f4ae-5976-8239-44abe8d2ea54,6e9bb140-5f81-5363-b2e6-1bddabc6fc0c,3cce90ee-0a22-5578-a697-17e4bd5160a5,6ef80540-16c7-551c-95b8-9ae7373e7908,36,781.92,PLN,customer_return,received,2026-05-01T15:00:00+00:00
5c49df00-fe33-50a6-9b4e-c017e851dd90,85f15904-5912-57dd-a7f7-c819d70edd6c,77801bcc-d0a9-5210-9bbd-3a9405c16727,38d5dc41-891b-50f6-a02f-fda88ad8ccde,91,1132.04,PLN,customer_return,received,2026-05-01T14:00:00+00:00
301b6505-c972-55e9-95a7-94d5c18293b4,34aed513-511b-55ae-aaf4-c11de5633479,0bddcb1a-b775-5ef7-ac54-bdaaaaeecefc,b17680da-3917-5612-9246-0a9b60e6efe9,75,1211.25,PLN,customer_return,received,2026-05-05T18:00:00+00:00
01ffaad4-98c1-582b-9b1b-54b944f8e17b,5874f0ec-9230-57f2-82c5-10fd3c2569fb,7f91dce0-9c4c-5511-986f-f79f05555158,c05f9712-2ad5-54a6-bb81-158133cd3bd9,35,4201.05,PLN,customer_return,received,2026-05-04T08:00:00+00:00
122b4860-f396-5340-9642-bdd97dc9db5e,ec3bb7d3-d7df-5cd5-a757-b49a72091e20,999a7156-92d9-5aac-90f6-85ccbf11dac8,06acb399-de3d-5662-8c40-c27c44a03030,8,1078.96,PLN,customer_return,received,2026-05-05T12:00:00+00:00
439d7183-8783-5395-b3a1-d78a6d24c654,0051d86d-a317-5de8-8987-8880dd82baeb,8b5becea-75b2-546b-b148-414ed09bbf6f,576f0781-3104-5d50-92f3-befe834a6fa6,83,878.97,PLN,customer_return,received,2026-05-03T13:00:00+00:00
744a4b9a-2f9c-5d57-adc9-6be34caf10b0,f12b951c-9741-54ab-9374-c834995fc14f,18a931fc-8301-57b3-a8e5-92ff034d62ec,39f8628a-0f86-548c-91ee-718cae91d0c3,9,1347.39,PLN,customer_return,received,2026-05-05T08:00:00+00:00
3dde75f9-bfd2-5eb1-b0b7-ef248da5293b,68f572b6-daf7-5f0d-a3e8-8325db96a7d5,f2be76a3-4fab-563e-8b5f-209c8c3429e2,44953a4d-66fb-5d64-9644-a9213ce753fb,6,308.40,PLN,customer_return,received,2026-05-03T16:00:00+00:00
aa7e2e57-0290-5b53-8fd1-590b2c1e862e,5f0d1793-bcf2-5379-bce7-ed58b1b9a78d,7340023c-130a-5767-9966-edfcdd74ab65,fafbca1c-6412-5747-af13-5c9678cf76df,6,998.46,PLN,customer_return,received,2026-05-04T15:00:00+00:00
422bb586-d4eb-5690-9500-ffeeed1be782,5f0d1793-bcf2-5379-bce7-ed58b1b9a78d,5a074b33-d5e9-5400-829e-3facf969f54e,b17680da-3917-5612-9246-0a9b60e6efe9,55,888.25,PLN,customer_return,received,2026-05-05T16:00:00+00:00
ec4d1b84-f88c-59a6-88d6-9261558f76e6,5f0d1793-bcf2-5379-bce7-ed58b1b9a78d,2be1242f-bbc8-5570-bcfe-ded85d5c770b,ca2f4809-df5a-51b1-b5eb-635bec356f40,6,185.94,PLN,customer_return,received,2026-05-01T17:00:00+00:00
0f9a1509-21ca-5f63-9be6-5a989265dbf9,849acc2a-16fc-5977-a36a-5c5859f45b92,ddefe547-4612-564a-8e87-f3a0f0fcdb26,e3e08a14-471a-5347-94f6-b2369070c3a7,68,1350.48,PLN,customer_return,received,2026-05-03T19:00:00+00:00
38e4213d-ec38-5922-9b63-480305e46815,9d569c9f-1424-5238-b9b8-b04ea1c616df,b9ac4d79-8119-534d-b299-ddba0c1f1f39,adacd216-df4b-557a-bee5-9d117848c764,1,173.83,PLN,customer_return,received,2026-05-01T10:00:00+00:00
5a62eeb5-1744-5640-8a50-c4af292a5320,3182e68b-3b3a-527c-a2b6-d91002064fa4,904560ca-4755-5379-935c-110c91186ef5,ec348c6b-cb3f-5826-a791-37217bfd82f6,3,527.04,PLN,customer_return,received,2026-05-04T13:00:00+00:00
bd86fdfb-4660-5cc3-a448-c6b94b9decad,917d87e6-941b-5cbf-aa3b-4faac48273ed,1dd2bd5a-c68d-58c1-b016-e8556556889b,398b86fc-73de-5291-ac6a-14681329475c,1,179.39,PLN,customer_return,received,2026-05-02T16:00:00+00:00
da9dbba3-b4ee-5954-aca3-1398b05dd4a0,bcbe1ebb-5bd4-5ac9-8563-b1a83acd04a0,9354d453-f8f9-5ad8-b3c6-e147509418c8,e760945c-f9e6-5e2e-9858-aceb64faaf84,2,362.50,PLN,customer_return,received,2026-05-03T17:00:00+00:00
752c2e06-94a6-54fd-996e-11c0cbbcd514,bcbe1ebb-5bd4-5ac9-8563-b1a83acd04a0,03932e8d-2947-5407-85c3-f14c22c9afc3,b17680da-3917-5612-9246-0a9b60e6efe9,66,1065.90,PLN,customer_return,received,2026-05-04T18:00:00+00:00
5f947e53-2b9a-5a23-b978-d5c01b0ac887,5d958435-a00b-5fa6-8e4a-820037e3cf80,d769891d-5394-54e3-8cd3-e2d246fde253,57a04d7b-ffa2-55d5-8e3c-3099d16cc188,1,186.81,PLN,customer_return,received,2026-05-04T11:00:00+00:00
0b7796a4-28a0-5369-8ab5-06dbc15cc9d5,7f6852b8-fe1d-5fd0-bdbb-42d6a6191494,3efa6b4a-ee89-57da-a497-184caa9802e1,20bd9198-afef-51b5-88cd-25eecdc6a243,1,190.52,PLN,customer_return,received,2026-05-01T13:00:00+00:00
531e15a2-0abe-5888-97dd-fde572cdb49d,eb4c52ae-0190-5220-84b0-31e344a0ea95,4f455ffd-1626-5c58-926d-8c0a80e694e6,1e4e8bdc-40be-58a9-9f14-c7b0c6af9c9c,1,194.23,PLN,customer_return,received,2026-05-01T18:00:00+00:00
